Date,Time,SpinVel,SpinTrq,SpinPwr,SpinSP,FeedVel,FeedPos,FeedTrq,FRO,PathVel,XPos,XVel,XTrq,YPos,YVel,YTrq,ZPos,ZVel,ZTrq,Gcode,Low,High,Ktype1,Ktype2,Ktype3,Ktype4,O2,ToolTemp,Tool2Temp
2025-07-07,15:16:05.21,194.39,57.60,1754.07,465.00,9.500,203.3116,10.15,100.00,0.00,0.0070,0.001,0.08,-0.0063,-0.000,-1.62,0.0007,0.000,1.95,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,34.4,0.0
2025-07-07,15:16:06.21,247.45,56.41,2137.06,465.00,9.500,203.4698,9.90,100.00,0.00,0.0070,-0.000,-0.02,-0.0063,-0.000,-1.51,0.0007,-0.000,2.15,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,37.4,0.0
2025-07-07,15:16:07.21,300.29,55.92,2536.80,465.00,9.500,203.6279,9.72,100.00,0.00,0.0070,0.000,-0.27,-0.0063,0.000,-1.39,0.0007,0.000,2.23,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,39.8,0.0
2025-07-07,15:16:08.21,352.93,56.38,2968.42,465.00,9.500,203.7861,10.23,100.00,0.00,0.0070,-0.000,-0.13,-0.0063,-0.000,-1.42,0.0007,-0.000,2.40,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,41.4,0.0
2025-07-07,15:16:09.21,405.44,53.99,3383.56,465.00,9.500,203.9443,10.70,100.00,0.00,0.0070,-0.000,-0.19,-0.0063,-0.000,-1.33,0.0007,-0.000,2.47,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,42.8,0.0
2025-07-07,15:16:10.21,442.86,29.85,2080.22,465.00,9.500,204.1025,11.24,100.00,0.00,0.0070,0.000,-0.20,-0.0063,0.000,-1.29,0.0007,0.000,2.58,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,43.8,0.0
2025-07-07,15:16:11.21,450.31,29.51,1934.49,465.00,9.500,204.2606,10.70,100.00,0.00,0.0070,-0.000,-0.21,-0.0063,-0.000,-1.27,0.0007,-0.000,2.68,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,44.5,0.0
2025-07-07,15:16:12.21,450.92,29.41,1921.67,465.00,9.500,204.4188,9.69,100.00,0.00,0.0070,0.000,-0.14,-0.0063,0.000,-1.27,0.0007,0.000,2.75,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,45.2,0.0
2025-07-07,15:16:13.21,450.65,28.41,1886.85,465.00,9.500,204.5770,9.19,100.00,0.00,0.0070,-0.000,-0.10,-0.0063,-0.000,-1.23,0.0007,-0.000,2.78,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,46.1,0.0
2025-07-07,15:16:14.21,450.50,28.19,1849.07,465.00,9.500,204.7352,9.42,100.00,0.00,0.0070,0.000,-0.09,-0.0063,0.000,-1.25,0.0007,0.000,2.82,28,23.0,22.0,0.0,0.0,0.0,0.0,-0.2098,46.8,0.0
