Date,Time,SpinVel,SpinTrq,SpinPwr,SpinSP,FeedVel,FeedPos,FeedTrq,FRO,PathVel,XPos,XVel,XTrq,YPos,YVel,YTrq,ZPos,ZVel,ZTrq,Gcode,Low,High,Ktype1,Ktype2,Ktype3,Ktype4,O2,ToolTemp,Tool2Temp
2025-07-22,16:34:39.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.07,100.00,890.00,49.3330,-0.000,-0.21,-39.2644,889.744,5.84,2.0010,-0.000,2.84,36,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:40.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.05,100.00,890.00,49.3330,0.000,-0.20,-24.4498,889.749,5.84,2.0010,0.000,2.83,36,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:41.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.08,100.00,890.00,49.3330,0.000,-0.19,-9.6354,889.746,5.85,2.0010,-0.000,2.84,37,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:42.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.07,100.00,890.00,49.3330,-0.000,-0.19,5.1784,889.746,5.86,2.0010,-0.000,2.87,37,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:43.36,-0.00,0.00,-0.00,0.00,-0.000,4003.7735,3.08,100.00,890.00,49.3330,-0.000,-0.19,19.9930,889.748,5.86,2.0010,0.000,2.84,38,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:44.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.07,100.00,890.00,49.3330,0.000,-0.19,34.8073,889.747,5.90,2.0010,-0.000,2.84,38,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:45.36,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.08,100.00,890.00,49.3330,-0.000,-0.18,49.6217,889.746,5.96,2.0010,0.000,2.85,39,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:46.36,-0.00,0.00,-0.00,0.00,-0.000,4003.7735,3.05,100.00,890.00,49.3330,-0.000,-0.17,64.4357,889.749,6.07,2.0010,0.000,2.84,39,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:47.35,-0.00,0.00,-0.00,0.00,0.000,4003.7735,3.07,100.00,743.36,48.9559,-187.572,-1.38,78.1323,556.228,4.80,2.0010,-0.000,2.85,41,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
2025-07-22,16:34:48.35,-0.00,0.00,-0.00,0.00,-0.000,4003.7735,3.06,100.00,889.77,38.6515,-889.708,-3.58,80.9500,-0.002,2.37,2.0010,-0.000,2.88,41,24.0,24.0,0.0,0.0,0.0,0.0,-0.2098,-2.0,0.0
